id,distribution,e_time
1,"[{'shop_id': '21162583', 'shop_name': 'PodMode'}, {'word': '100%', 'count': 13}, {'word': 'runs', 'count': 12}, {'word': 'polyester', 'count': 11}, {'word': 'durable', 'count': 11}, {'word': 'g/mÂ²))\r\n.:', 'count': 11}]",1568602730.6022506
2,"[{'shop_id': '21162039', 'shop_name': 'SmartSVGDesigns'}, {'word': 'svg', 'count': 154}, {'word': 'silhouette', 'count': 149}, {'word': '1', 'count': 125}, {'word': 'cricut', 'count': 123}, {'word': 'use', 'count': 102}]",1568602730.6022727
3,"[{'shop_id': '21159771', 'shop_name': 'Roseobelle'}, {'word': '11oz', 'count': 25}, {'word': 'dishwasher', 'count': 25}, {'word': 'mughandmade', 'count': 24}, {'word': 'mug', 'count': 24}, {'word': 'safe.handmade', 'count': 16}]",1568602730.6022851
4,"[{'shop_id': '21158587', 'shop_name': 'GregorySvg'}, {'word': 'svg', 'count': 135}, {'word': 'files', 'count': 55}, {'word': 'superhero', 'count': 54}, {'word': 'logo', 'count': 36}, {'word': 'cricut', 'count': 30}]",1568602730.6022959
5,"[{'shop_id': '21155263', 'shop_name': 'CathlenBalonArtSVG'}, {'word': 'halloween', 'count': 76}, {'word': 'svg', 'count': 50}, {'word': 'files', 'count': 50}, {'word': 'customer', 'count': 25}, {'word': 'digital\n***', 'count': 25}]",1568602730.6023061
6,"[{'shop_id': '21155083', 'shop_name': 'DELLAJewelryDesigns'}, {'word': 'gold', 'count': 35}, {'word': 'hoop', 'count': 22}, {'word': 'plated', 'count': 21}, {'word': 'beaded', 'count': 15}, {'word': 'necklace', 'count': 13}]",1568602730.6023169
7,"[{'shop_id': '21155035', 'shop_name': 'LittleGoblinGarments'}, {'word': 'car', 'count': 6}, {'word': 'headband', 'count': 5}, {'word': 'laptop', 'count': 5}, {'word': 'ass', 'count': 4}, {'word': 'fkn', 'count': 4}]",1568602730.6023273
8,"[{'shop_id': '21154863', 'shop_name': 'HeArtsandDesign'}, {'word': 'painted', 'count': 34}, {'word': 'bottle', 'count': 14}, {'word': 'lightshand', 'count': 10}, {'word': 'x', 'count': 9}, {'word': 'glass', 'count': 9}]",1568602730.6023371
9,"[{'shop_id': '21153881', 'shop_name': 'BUNGKUSROKOK'}, {'word': 'please', 'count': 175}, {'word': 'invitation', 'count': 100}, {'word': 'party', 'count': 100}, {'word': 'email', 'count': 75}, {'word': '24', 'count': 50}]",1568602730.602347
10,"[{'shop_id': '21153458', 'shop_name': 'TinasArtforms'}, {'word': 'print', 'count': 25}, {'word': 'signed', 'count': 25}, {'word': 'numbered', 'count': 25}, {'word': 'original', 'count': 25}, {'word': 'watercolor', 'count': 10}]",1568602730.602357
